策略-参数1,策略-参数2,策略-参数3,标的,开始时间,结束时间,保证金,使用金额,起始金额,结束金额,最大回撤,盈亏比,胜率,收益率
VWMA,20,60,DCE.c1701,2016-01-15,2017-01-15,1204.5,48621.78370934605,10000000.0,9996616.0,100.91694418710264,0.3181818181818182,0.6666666666666666,-6.959843390832924
MA+kσ,5,15,DCE.c1701,2016-01-15,2017-01-15,1204.5,42078.15610133264,10000000.0,10002176.0,87.33531776947413,1.5404255319148936,0.3846153846153846,5.171329263477601
MA+kσ,10,30,DCE.c1701,2016-01-15,2017-01-15,1204.5,45871.99999999999,10000000.0,10011668.0,95.20963055209629,0.8636363636363636,0.6,25.435995814440187
MA+kσ,20,40,DCE.c1701,2016-01-15,2017-01-15,1204.5,31749.87330003391,10000000.0,10011016.0,65.89845018686988,inf,1.0,34.6962014490566
MA+kσ,20,60,DCE.c1701,2016-01-15,2017-01-15,1204.5,49273.59788334428,10000000.0,9995316.0,102.26981710947338,0.3870967741935484,0.3333333333333333,-9.506105097276263
MA,5,15,DCE.c2401,2023-01-15,2024-01-15,1167.5,51935.66041258136,10000000.0,10005580.0,111.2112642667695,2.2430167597765363,0.3529411764705882,10.744062857142858
MA,10,30,DCE.c2401,2023-01-15,2024-01-15,1167.5,23350.0,10000000.0,10017416.0,47.98136912506128,1.3666666666666667,0.6666666666666666,74.58672376873662
MA,20,40,DCE.c2401,2023-01-15,2024-01-15,1167.5,27860.1606892893,10000000.0,10008516.0,59.6577316687137,0.5396825396825397,0.6666666666666666,30.566945018640663
MA,20,60,DCE.c2401,2023-01-15,2024-01-15,1167.5,23624.63995601149,10000000.0,10015664.0,50.58809412422162,0.0,0.0,66.30365596752368
EMA,5,15,DCE.c2401,2023-01-15,2024-01-15,1167.5,39531.9197314542,10000000.0,10022600.0,84.65079171617602,3.0729166666666665,0.3333333333333333,57.16899192734611
EMA,10,30,DCE.c2401,2023-01-15,2024-01-15,1167.5,50288.14404770117,10000000.0,10023392.0,107.68339196509886,2.7580645161290325,0.5,46.51593420869013
EMA,20,40,DCE.c2401,2023-01-15,2024-01-15,1167.5,83582.30855755725,10000000.0,9996664.0,178.97710611896628,inf,1.0,-3.991275256177845
EMA,20,60,DCE.c2401,2023-01-15,2024-01-15,1167.5,39370.84794854118,10000000.0,10029640.0,84.30588425811816,5.225806451612903,0.5,75.28412910674498
VWMA,5,15,DCE.c2401,2023-01-15,2024-01-15,1167.5,56788.07689593597,10000000.0,10015080.0,121.6018777214903,2.741860465116279,0.2941176470588235,26.5548700084246
VWMA,10,30,DCE.c2401,2023-01-15,2024-01-15,1167.5,30093.479067341745,10000000.0,10014468.0,64.43999800287311,2.1024590163934427,0.4,48.07686066348196
VWMA,20,40,DCE.c2401,2023-01-15,2024-01-15,1167.5,33416.040898484694,10000000.0,10003216.0,71.55469143144474,0.6666666666666666,0.3333333333333333,9.624120373116478
VWMA,20,60,DCE.c2401,2023-01-15,2024-01-15,1167.5,24420.922081595927,10000000.0,10016464.0,52.29319503553732,inf,1.0,67.4176017801047
MA+kσ,5,15,DCE.c2401,2023-01-15,2024-01-15,1167.5,39554.92142236659,10000000.0,10024276.0,84.70004587230532,1.4152823920265782,0.5384615384615384,61.37289400927233
MA+kσ,10,30,DCE.c2401,2023-01-15,2024-01-15,1167.5,25209.7114901887,10000000.0,10017716.0,53.98225158498651,2.083333333333333,0.6666666666666666,70.27450515209127
MA+kσ,20,40,DCE.c2401,2023-01-15,2024-01-15,1167.5,27065.98923114051,10000000.0,10003216.0,57.95715038788117,0.2803030303030303,0.6666666666666666,11.88207078830824
MA+kσ,20,60,DCE.c2401,2023-01-15,2024-01-15,1167.5,32213.24834768252,10000000.0,10011564.0,68.97911851752147,0.0,0.0,35.898273515256754
MA,5,15,DCE.c2001,2019-01-15,2020-01-15,1204.5,43789.14627929971,10000000.0,9999808.0,90.88656346886616,2.055238095238096,0.35,-0.4384648167730173
MA,10,30,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10020716.0,41.54876900880596,5.277777777777778,0.6666666666666666,85.9941884599419
MA,20,40,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10019416.0,33.570238239342046,3.338235294117647,0.6666666666666666,80.59775840597759
MA,20,60,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10016588.0,26.52383823794843,inf,0.0,68.85844748858447
EMA,5,15,DCE.c2001,2019-01-15,2020-01-15,1204.5,27744.778387185008,10000000.0,10007024.0,57.5856753573786,6.0,0.1818181818181818,25.316475417386304
EMA,10,30,DCE.c2001,2019-01-15,2020-01-15,1204.5,26588.30954263548,10000000.0,10003720.0,55.18536642307074,2.833333333333333,0.2857142857142857,13.991111371841155
EMA,20,40,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10014416.0,46.55219129455392,1.7230769230769232,0.3333333333333333,59.84225819842258
EMA,20,60,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10013016.0,49.1754077452273,1.413333333333333,0.3333333333333333,54.03071814030718
VWMA,5,15,DCE.c2001,2019-01-15,2020-01-15,1204.5,35725.06792794606,10000000.0,9999604.0,74.1491654793401,2.399137931034483,0.3125,-1.1084653521126762
VWMA,10,30,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10022868.0,36.12094692555894,6.736363636363636,0.4,94.92735574927356
VWMA,20,40,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10010740.0,35.83461220467541,3.702702702702703,0.5,44.58281444582815
VWMA,20,60,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10013940.0,26.521190431652165,8.555555555555555,0.5,57.86633457866335
MA+kσ,5,15,DCE.c2001,2019-01-15,2020-01-15,1204.5,33196.232335332206,10000000.0,10012000.0,68.90044071260317,2.8823529411764706,0.4166666666666667,36.14868060562365
MA+kσ,10,30,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10020716.0,44.39181565371339,2.894736842105264,0.6666666666666666,85.9941884599419
MA+kσ,20,40,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10021616.0,33.564206326026365,3.95,0.6666666666666666,89.73017849730178
MA+kσ,20,60,DCE.c2001,2019-01-15,2020-01-15,1204.5,24090.0,10000000.0,10015288.0,26.52728117664285,inf,0.0,63.46201743462018
MA,5,15,DCE.c2301,2022-01-15,2023-01-15,1430.5,94428.27731162768,10000000.0,9995012.0,165.02669925135908,1.0436835891381346,0.4583333333333333,-5.282315998987086
MA,10,30,DCE.c2301,2022-01-15,2023-01-15,1430.5,55314.64390599861,10000000.0,10005472.0,96.6701221705673,4.101145038167939,0.2222222222222222,9.892497923875432
MA,20,40,DCE.c2301,2022-01-15,2023-01-15,1430.5,42254.62592989444,10000000.0,10024540.0,73.84590340771484,inf,1.0,58.076481473803234
MA,20,60,DCE.c2301,2022-01-15,2023-01-15,1430.5,65696.36189547203,10000000.0,9997440.0,114.81363490994762,2.40625,0.5,-3.896715017603497
EMA,5,15,DCE.c2301,2022-01-15,2023-01-15,1430.5,61016.32327907626,10000000.0,10027676.0,106.63460901621158,2.909090909090909,0.3846153846153846,45.35835414634146
